onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
1801.989663	13.6813379	3	1	3	3	1	1	0	0	0	0	0	0	0	0
1815.679342	13.1980965	3	2	3	1	1	4	0	0	0	0	0	0	0	0
1828.885762	13.1981311	3	3	2	2	1	2	0	0	0	0	0	0	0	0
1842.092217	13.1981453	3	4	3	2	4	3	0	0	0	0	0	0	0	0
1855.307046	13.1981104	3	5	1	3	4	3	0	0	0	0	0	0	0	0
1868.521862	13.1981372	3	6	2	3	2	3	0	0	0	0	0	0	0	0
1881.728335	13.1981342	3	7	1	2	3	2	0	0	0	0	0	0	0	0
1894.934805	13.2064584	3	8	2	1	1	4	0	0	0	0	0	0	0	0
1908.149597	13.1981681	3	9	1	1	2	1	0	0	0	0	0	0	0	0
