onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
1593.943802	13.2233937	2	1	2	1	4	1	0	0	0	0	0	0	0	0
1607.175527	13.1983575	2	2	3	3	1	3	0	0	0	0	1	1.3865457	0	0
1620.382232	13.1981863	2	3	1	2	4	1	3	0.5259407	3	0.3193128	1	0.5525211	0	0
1633.588753	13.1980731	2	4	2	2	2	3	3	0.5196892	3	0.4199725	1	0.5939726	0	0
1646.803483	13.1981223	2	5	1	3	2	1	3	0.585913	3	0.47032	1	0.4519598	0	0
1660.009967	13.198098	2	6	2	3	4	4	3	0.3771573	3	0.2937937	1	0.5283129	0	0
1673.216316	13.1980833	2	7	1	1	2	4	3	0.4264784	3	0.2430844	1	0.6194417	0	0
1686.422742	13.1981025	2	8	3	1	4	2	3	0.2615417	3	0.5777729	1	0.6436923	0	0
1699.629185	13.1981104	2	9	3	2	4	1	3	0.5754264	3	0.5023135	1	0.9420263	0	0
