onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
3810.495574	13.2480589	5	1	3	1	4	2	4	0.5767043	2	0.9768671	1	0.8437364
3823.751992	13.1981744	5	2	2	3	2	2	2	0.9606696	2	0.7942061	2	0.7359884
3836.958496	13.198078	5	3	3	3	3	3	3	0.4273627	3	0.2686208	2	0.5353819
3850.164904	13.1981419	5	4	1	2	4	1	4	0.5186281	1	0.4602003	1	1.0846924
3863.379708	13.1981509	5	5	3	2	3	3	3	0.4517337	1	0.4690592	2	0.8187299
3876.586191	13.1983344	5	6	2	2	2	2	1	0.8686992	1	0.4602615	1	1.3938358
3889.792687	13.1981467	5	7	3	3	4	3	4	0.6270211	3	0.5354203	2	0.9349807
3902.999183	13.2064997	5	8	3	1	1	3	1	0.4942252	3	0.5026054	2	0.5476484
3916.214014	13.1981653	5	9	2	3	3	4	4	1.810497	4	1.5099789	2	0.6441421
3929.420629	13.1980728	5	10	2	1	3	3	3	0.7271485	2	0.8097731	1	0.5936998
3942.627026	13.1981538	5	11	2	2	1	4	1	0.5187632	4	0.652085	1	1.2787234
3955.833504	13.1982168	5	12	2	1	1	3	1	0.6352769	3	0.7855817	2	0.8601399
3969.040221	13.1979935	5	13	1	1	1	2	1	0.4027738	3	0.5440877	1	0.4354805
3982.246549	13.1982081	5	14	2	3	2	1	2	0.643475	1	0.4349096	2	1.0183592
3995.453086	13.1982072	5	15	1	3	3	4	3	1.0764221	4	1.0597925	1	0.6097351
4008.659602	13.1981894	5	16	1	3	3	1	3	0.5540001	1	0.5295502	2	0.534774
4021.866125	13.1981838	5	17	3	2	2	4	2	0.9188522	4	0.7682859	1	0.9597202
4035.072732	13.1981772	5	18	1	2	4	2	1	0.4860637	2	0.4445086	1	1.209846
4048.279226	13.198138	5	19	2	3	2	4	4	1.6449396	4	1.8361156	2	0.5690819
4061.485709	13.1981953	5	20	3	3	2	1	4	1.4106045	1	0.5024596	2	0.5191839
4074.692254	13.1982205	5	21	2	2	2	2	2	0.5354082	1	0.7854586	1	0.9852163
4087.898813	13.1981589	5	22	1	1	1	1	3	0.8852036	1	1.2602912	1	0.835262
4101.105331	13.198192	5	23	3	1	1	2	1	0.4434888	2	0.4112704	1	1.0353804
4114.31185	13.1981971	5	24	2	1	3	4	3	0.5516104	4	0.7360186	1	0.9446626
4127.51852	13.1980731	5	25	1	3	2	1	1	0.3938192	1	0.5189232	2	0.4767328
4140.72507	13.1980862	5	26	1	3	4	2	1	0.8765715	2	0.452075	2	0.4189014
4153.93149	13.1982014	5	27	1	1	2	4	3	1.0096062	3	1.1599617	1	0.6019909
4167.138041	13.1982093	5	28	3	1	4	3	4	0.4350317	4	1.1680653	1	0.8428562
4180.34459	13.1982049	5	29	1	2	3	3	2	1.0363018	3	1.0853155	2	0.4433035
4193.551126	13.1981975	5	30	1	2	1	2	3	2.0685099	1	0.9264219	2	1.1850592
4206.757665	13.1982146	5	31	3	2	2	1	2	0.3854954	1	1.2764649	2	0.5855482
4219.964212	13.1982112	5	32	2	2	3	4	3	0.3357557	4	0.4439663	2	0.8515111
4233.170717	13.1982557	5	33	3	3	3	2	3	0.5268294	4	1.4437487	1	0.4600023
4246.377309	13.1982037	5	34	1	1	1	4	1	0.9267318	4	0.5852919	1	0.5271101
4259.583844	13.1982125	5	35	3	2	2	2	1	0.9938735	4	0.3263738	1	0.7611999
4272.790389	13.1982137	5	36	2	1	4	3	4	0.7181049	3	0.3856357	1	0.5353339
