onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
6088.662678	13.223063	1	1	1	3	3	4	2	1.4692193	4	0.4938577	1	1.01933
6101.89415	13.1979838	1	2	2	1	3	1	3	0.6686744	1	0.3361867	2	0.9766876
6115.108951	13.3895792	1	3	1	2	2	3	2	0.4273259	3	0.3934084	1	1.1358174
6128.506873	13.3063859	1	4	3	3	3	3	3	0.4188589	3	0.6021421	2	0.4520168
6141.829935	13.198042	1	5	2	3	2	2	2	0.5938566	2	0.7522381	1	0.59393
6155.036336	13.3563846	1	6	3	3	3	4	3	1.4443003	4	0.469028	2	0.6517623
6168.4011	13.4063625	1	7	3	2	2	4	2	0.5516691	4	0.351976	2	0.8935038
6181.815778	13.3314205	1	8	1	2	3	1	1	0.4351173	1	0.4348231	1	0.7183954
6195.155526	13.2064106	1	9	1	3	2	4	2	0.3860783	4	0.4856955	1	0.79459
6208.370265	13.1980893	1	10	1	3	1	2	2	0.6025322	2	0.3521883	1	0.9707053
6221.576669	13.3064731	1	11	3	2	2	4	2	0.4604373	4	0.9949228	1	0.6435019
6234.891478	13.2731037	1	12	3	1	1	3	1	0.5448193	3	0.5020489	2	0.6781058
6248.172963	13.1980734	1	13	3	2	3	1	3	0.3691204	1	0.402337	1	0.9597932
6261.379441	13.1980499	1	14	3	3	2	3	2	0.435109	3	0.4185489	2	1.3937728
6274.585821	13.2814912	1	15	1	2	2	2	2	1.0937607	1	0.3933995	2	0.5679578
6287.875644	13.2481083	1	16	3	1	3	4	3	0.6273323	4	0.6026405	1	0.618202
6301.132095	13.314814	1	17	2	3	2	3	2	0.6189149	3	0.4443768	2	0.6937516
6314.455226	13.2814278	1	18	2	1	1	4	1	0.3773955	4	0.4603395	1	1.1602551
6327.744986	13.3564398	1	19	2	2	4	1	4	0.6437282	1	0.3780149	1	1.6348261
6341.109902	13.1980274	1	20	1	2	2	4	2	0.5683838	4	0.4848218	1	1.1352919
6354.316336	13.1980677	1	21	2	2	1	2	1	0.3357695	2	0.519248	1	1.2604061
6367.522738	13.3231492	1	22	2	3	2	2	2	0.3768915	2	0.5021893	2	0.8597317
6380.854218	13.3814452	1	23	2	2	3	1	3	0.8023248	1	0.5264832	2	1.0680374
6394.244093	13.19806	1	24	3	3	2	1	2	0.5102912	1	0.4857297	1	0.8763703
6407.450481	13.206487	1	25	2	1	4	2	4	0.6685084	2	0.3359455	1	0.6933794
6420.665307	13.28170761	1	26	2	1	4	4	4	0.394549	4	0.4684757	0	0
6433.955245	13.2896963	1	27	1	1	4	2	4	0.4686574	1	0.3770218	1	0.8186374
6447.253258	13.1981602	1	28	1	1	4	3	4	0.3291398	3	0.7601395	1	0.5099483
6460.459753	13.1981473	1	29	2	3	3	2	3	1.0348172	2	0.502367	2	0.9519965
6473.666228	13.2815069	1	30	1	1	1	4	1	0.4365558	1	0.5351581	1	0.4769521
6486.956069	13.248131	1	31	2	2	1	3	1	0.4030752	3	0.6442812	1	0.46814
6500.2127	13.1980422	1	32	3	1	2	1	2	0.4681462	1	0.6025234	1	1.1180638
6513.41905	13.1982597	1	33	1	1	4	4	4	0.5431547	3	1.5350997	2	1.1681702
6526.625536	13.2398196	1	34	3	1	2	4	2	0.3771705	1	0.5601358	1	1.0267277
6539.873712	13.1981929	1	35	3	2	2	2	2	0.4770071	1	0.3514397	1	0.9179731
6553.080349	13.2647193	1	36	1	3	1	1	1	0.4937891	1	0.3688318	2	0.5015907
