onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
8021.858144	13.3313518	4	1	2	3	2	1	2	0.4607593	1	0.4274246	2	0.8270513
8035.197829	13.3064452	4	2	3	2	1	1	1	0.4352415	1	0.3193982	1	0.3930958
8048.512597	13.1981007	4	3	1	3	3	4	3	0.701787737	4	0.3436165	2	1.2518775
8061.719149	13.197988	4	4	2	1	4	2	4	0.2934865	1	0.2600258	1	1.2180627
8074.942238	13.3396969	4	5	2	1	1	1	1	0.7438204	1	0.285883	1	1.0932853
8088.290267	13.2897576	4	6	1	1	1	1	2	0.3601264	1	0.3523675	2	0.8437266
8101.588525	13.1979905	4	7	1	2	1	1	2	0.3440064	1	0.2273526	1	0.6352337
8114.794846	13.2647969	4	8	3	1	3	2	0	0	2	0.319026	2	0.6436895
8128.067965	13.3314762	4	9	2	2	3	2	3	0.3606809	2	0.3267359	2	0.5856814
8141.407756	13.289798	4	10	1	2	2	1	1	0.460785	1	0.4111632	1	0.6451743
8154.706002	13.1980202	4	11	2	3	4	2	1	0.4267601	2	0.3019716	2	0.8445156
8167.912341	13.2815176	4	12	3	1	2	4	2	0.4021206	4	0.4607471	1	1.1521871
8181.202187	13.2981486	4	13	1	1	3	2	3	1.1688637	3	0.5850508	2	1.0934045
8194.508663	13.1981616	4	14	3	3	2	3	2	0.8029113	3	0.6520253	1	0.468811
8207.715244	13.198041	4	15	3	3	2	4	2	0.3878536	4	0.310368	2	0.7268841
8220.921718	13.2730877	4	16	2	3	3	2	3	0.4857355	2	0.5024362	2	0.7769737
8234.203135	13.4147932	4	17	1	2	3	4	4	0.5025387	4	0.3021786	1	0.8932879
8247.626366	13.1980593	4	18	2	2	4	2	4	0.3859476	2	0.3784877	1	0.9686478
8260.832755	13.3148448	4	19	3	1	1	1	1	0.3529505	2	0.9522034	1	1.1429152
8274.155924	13.2483013	4	20	2	1	3	2	3	0.4776397	1	0.1608452	1	0.393406
8287.412422	13.2731675	4	21	1	3	1	2	1	0.5437217	2	0.3687997	2	0.8764847
8300.693918	13.1982038	4	22	3	3	4	1	4	0.3186523	1	0.360034	1	1.3603049
8313.90042	13.2898453	4	23	2	2	4	3	4	0.3025355	3	0.3854969	1	1.2765415
8327.198593	13.2565076	4	24	3	1	2	3	2	0.3014488	3	0.4269595	1	0.4096543
8340.463565	13.2313295	4	25	1	2	3	3	1	0.4017089	3	0.3370915	2	0.8773178
8353.703342	13.1981096	4	26	2	3	4	1	4	0.2856056	1	0.3689044	2	1.3432424
8366.909791	13.256483	4	27	1	3	3	4	3	0.8520862	4	0.3376567	2	0.3770993
8380.174699	13.2980829	4	28	1	1	4	3	2	0.5182698	3	0.5523491	2	0.8179064
8393.48111	13.273313	4	29	3	3	1	3	1	0.4014347	3	0.6605631	2	1.0102715
8406.762627	13.1981654	4	30	3	2	3	3	3	0.3435097	3	0.6097399	2	0.7855255
8419.96912	13.2232014	4	31	3	2	3	4	3	0.7434657	4	0.3939759	1	0.3596638
8433.200651	13.2398297	4	32	1	3	3	1	1	0.6353331	1	0.3184682	1	1.0430349
8446.448831	13.1981729	4	33	2	2	2	3	2	0.4933265	3	0.3846475	1	0.9852216
8459.655335	13.1981898	4	34	2	1	2	1	2	0.3105901	1	0.9186168	1	0.4686195
8472.861972	13.2314218	4	35	1	1	4	4	4	0.626483	4	0.3186201	1	0.9271785
8486.10189	13.2396386	4	36	3	2	1	4	1	0.3438263	4	0.3101309	1	0.8936229
