onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
98268.88009	13.2543533	5	1	3	1	4	2	4	0.4448296	2	0.2681708	1	0.5517384	0	0
98282.14282	13.2044101	5	2	1	1	3	3	1	0.6269361	3	0.3599736	2	0.4365011	0	0
98295.35551	13.2211525	5	3	2	3	1	1	1	0.1277083	1	0.3031243	2	1.3933001	0	0
98308.58494	13.2044645	5	4	3	1	1	4	1	0.3354075	3	0.3278115	2	0.9112836	0	0
98321.80602	13.2211267	5	5	3	2	2	2	2	0.4285987	2	0.292902	1	1.2028609	0	0
98335.03546	13.2044273	5	6	1	3	2	3	2	0.5699691	3	0.4030985	2	0.5704073	1	0
98348.2482	13.2043995	5	7	2	3	3	2	3	0.3182909	2	0.3780101	2	0.4461599	0	0
98361.46098	13.2043612	5	8	1	3	2	1	2	0.3027959	1	0.276429	2	0.7115228	0	0
98374.67372	13.212729	5	9	3	1	2	4	2	0.33465	3	0.3944795	1	1.1621317	0	0
98387.89475	13.2044667	5	10	1	2	3	3	4	0.2864485	2	0.3429798	2	0.4026112	0	0
98401.10755	13.2127102	5	11	1	1	4	2	2	0.5273747	2	0.3375575	2	0.6023694	0	0
98414.32871	13.2042742	5	12	1	1	4	1	4	0.3361278	2	0.3382197	2	0.4928201	0	0
98427.54129	13.2045016	5	13	2	1	3	3	2	0.7366991	2	0.417877	2	1.0846984	0	0
98440.75408	13.2044462	5	14	2	3	3	2	3	0.3610126	2	0.3011982	2	0.5275506	0	0
98453.96685	13.2043802	5	15	3	2	4	3	4	0.3262548	3	0.3274236	1	1.0197747	0	0
98467.17957	13.2127471	5	16	3	1	3	2	3	0.3512942	2	0.2274187	1	0.5289131	0	0
98480.40067	13.204412	5	17	2	2	4	1	4	0.186951	1	0.3027717	2	1.0451747	0	0
98493.61347	13.2044113	5	18	3	3	3	2	3	0.3037769	2	0.2763258	1	0.7193494	0	0
98506.82622	13.2210505	5	19	3	3	2	1	2	0.2606134	1	0.2610656	2	1.0428957	0	0
98520.05561	13.2127955	5	20	2	2	1	1	1	0.2112745	1	0.2525027	1	0.4105002	0	0
98533.27674	13.2043617	5	21	2	1	1	4	1	0.2122581	3	0.3012827	1	1.2612373	0	0
98546.48945	13.2128411	5	22	3	2	3	2	3	0.1709301	2	0.2760597	2	1.0930782	0	0
98559.71057	13.2043752	5	23	2	3	3	2	3	0.2275318	2	0.361312	1	1.1347788	0	0
98572.92332	13.20438	5	24	2	1	4	1	4	0.4363638	1	0.3097717	1	0.7690212	0	0
98586.13607	13.2043319	5	25	1	3	1	4	2	0.2941772	4	0.3019737	2	0.8178546	0	0
98599.34878	13.2127587	5	26	1	3	2	3	2	0.2762335	3	0.3359171	2	0.7595147	0	0
98612.56992	13.204389	5	27	3	3	3	1	3	0.5272892	1	0.3353055	2	0.6109134	0	0
98625.78263	13.2045018	5	28	1	1	3	4	3	0.4094021	1	0.6762411	1	0.4761567	0	0
98638.99541	13.2127184	5	29	2	1	1	4	1	0.3441172	3	0.8179148	1	0.3772584	0	0
98652.21646	13.2045121	5	30	2	2	2	4	2	0.3191176	4	0.4027478	1	0.9763726	0	0
98665.42922	13.2044527	5	31	3	3	3	4	3	0.2937864	4	0.310638	2	1.1013758	0	0
98678.64197	13.2044581	5	32	2	2	2	4	2	0.2856327	1	0.2928329	1	1.0028978	0	0
98691.85484	13.2043042	5	33	1	2	3	3	2	0.267445	3	0.4108814	2	0.5612942	0	0
98705.06758	13.2043171	5	34	1	2	1	4	2	0.4095104	4	0.2929028	2	0.4594828	0	0
98718.28027	13.2043817	5	35	1	2	4	4	2	0.3010764	1	0.2109117	2	1.0944693	0	0
98731.4931	13.2126365	5	36	3	2	4	2	4	0.4094419	2	0.2606557	2	1.1777923	0	0
