onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
95869.1034	13.2460008	1	1	2	2	3	3	4	0.5039869	3	0.4529906	2	1.3792877	0	0
95882.35774	13.2044364	1	2	2	3	3	3	2	0.9029639	3	0.8933099	2	0.7361325	0	0
95895.57043	13.2044382	1	3	1	3	4	3	1	0.4352486	3	0.4845361	2	1.2348688	0	0
95908.78321	13.2043546	1	4	1	3	3	1	4	0.4762683	1	0.4102048	2	0.7203804	0	0
95922.00427	13.2127009	1	5	1	1	4	2	2	0.5596541	1	0.7098385	2	1.1778739	0	0
95935.22528	13.2044653	1	6	3	2	4	3	4	0.4615595	3	0.7351981	1	0.9185464	0	0
95948.43798	13.2127617	1	7	3	2	2	2	2	0.6365672	2	0.4784981	1	0.7774154	0	0
95961.65911	13.2043966	1	8	2	1	3	1	2	0.5696195	1	0.4266085	2	0.9276489	0	0
95974.87188	13.2127083	1	9	2	1	2	2	2	0.3456073	2	0.360821	1	0.6442779	0	0
95988.09291	13.221117	1	10	3	1	3	2	0	0	2	0.4015402	1	0.8185168	0	0
96001.32237	13.2127565	1	11	1	1	3	4	2	0.4365096	2	0.4612074	1	0.8288867	0	0
96014.54336	13.2044274	1	12	3	3	3	1	3	0.7868084	1	0.4360233	1	1.626958	0	0
96027.75611	13.2128776	1	13	3	3	3	3	3	0.517976	3	0.4696824	2	0.9861678	0	0
96040.97727	13.2127433	1	14	2	3	4	2	4	0.518004	2	0.5691035	2	1.2610671	0	0
96054.19835	13.2043865	1	15	1	2	2	2	2	0.4344426	2	0.3538454	1	1.2279048	0	0
96067.41107	13.2128381	1	16	1	3	3	4	2	0.409345	4	0.504153	2	0.6525681	0	0
96080.63217	13.2044154	1	17	2	1	2	1	2	0.3358632	2	0.3026759	1	1.693426	0	0
96093.84492	13.2044788	1	18	1	2	1	2	2	0.4773575	2	0.5444235	1	0.9189612	0	0
96107.05769	13.2043976	1	19	3	3	3	1	3	0.4097724	1	0.3275209	2	0.9193416	0	0
96120.27041	13.2127468	1	20	2	2	2	3	2	0.3344659	3	0.5262694	1	0.92637	0	0
96133.49142	13.2043806	1	21	2	3	3	1	3	0.4278038	1	0.4443495	2	0.7178436	0	0
96146.70421	13.2210684	1	22	1	1	2	1	2	0.3691612	2	0.4262105	1	0.9695291	0	0
96159.93362	13.2043494	1	23	1	2	4	2	2	0.3676961	2	0.451375	1	0.7511586	0	0
96173.1463	13.2128377	1	24	3	2	3	2	3	0.3536628	2	0.3928049	1	0.5095185	0	0
96186.36748	13.2127514	1	25	2	2	4	3	4	0.3287818	3	0.343849	1	1.0179922	0	0
96199.58858	13.2044075	1	26	2	1	3	1	1	0.6932354	0	0	1	0.7527214	0	0
96212.80135	13.2126975	1	27	3	1	3	2	3	0.5780718	1	0.3344268	2	1.2858828	0	0
96226.02236	13.2212203	1	28	3	1	4	3	4	0.3763531	2	0.3439065	1	0.6109016	0	0
96239.25179	13.2044579	1	29	2	2	2	1	2	0.2687325	2	0.2761901	1	1.5525193	0	0
96252.46457	13.2044283	1	30	1	2	2	3	2	0.4010811	3	0.4010396	1	0.7846828	1	0
96265.67733	13.2127516	1	31	2	3	2	4	2	0.6262134	4	0.4181084	2	1.2776812	0	0
96278.89838	13.2127423	1	32	3	1	1	4	1	0.4431658	3	0.3511596	1	1.5180967	0	0
96292.11949	13.2044161	1	33	3	3	4	1	4	0.5859561	1	0.5692947	2	0.8361571	0	0
96305.33224	13.2043743	1	34	3	2	1	1	1	0.3291032	1	0.3677916	1	0.5930994	0	0
96318.54496	13.2044476	1	35	1	3	1	1	2	0.3528095	1	0.4093202	2	1.1596954	0	0
96331.75775	13.2044052	1	36	1	1	2	4	2	0.3774437	4	0.4112181	1	0.6439903	0	0
