onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
96953.6823	13.2544517	3	1	2	2	4	2	4	0.5197677	2	0.3110667	2	0.5196608	0	0
96966.94503	13.2045081	3	2	2	2	2	3	4	0.4274394	3	0.3017207	1	0.5117584	0	0
96980.15783	13.2044138	3	3	2	1	2	2	2	0.3431322	2	0.2930289	2	1.4599167	0	0
96993.37052	13.212811	3	4	2	3	3	2	3	0.7183558	2	0.2858655	2	0.9197258	0	0
97006.59997	13.2044005	3	5	3	3	4	2	4	0.4763566	2	0.4429721	2	0.9930763	0	0
97019.8127	13.2044739	3	6	1	2	1	4	2	0.3282948	4	0.3452239	1	0.6119457	0	0
97033.02549	13.2127402	3	7	1	2	2	3	4	0.293894	3	0.3264345	2	0.9879956	0	0
97046.24654	13.2044696	3	8	1	3	4	2	1	0.5183979	2	0.2956334	2	0.6367188	0	0
97059.45931	13.221039	3	9	3	3	2	4	2	0.2524496	4	0.4110668	2	1.1442346	0	0
97072.68867	13.212793	3	10	3	3	2	3	2	0.2762273	3	0.2596469	1	0.4595515	0	0
97085.90991	13.2044164	3	11	2	3	3	1	3	0.3280692	1	0.2950257	2	0.6610699	0	0
97099.12266	13.2042471	3	12	3	1	4	3	4	0.3606907	3	0.3268436	2	1.0525728	0	0
97112.33532	13.2043961	3	13	1	3	2	1	2	0.2958633	1	0.3513485	2	0.4677769	0	0
97125.54807	13.2044919	3	14	3	3	3	3	3	0.3095405	3	0.3114686	1	0.9097273	0	0
97138.76079	13.2044797	3	15	1	1	1	1	2	0.3198146	1	0.4513434	2	1.1442909	0	0
97151.97359	13.2043875	3	16	3	2	2	2	2	0.5760586	2	0.521987	1	0.4870255	0	0
97165.18636	13.2043753	3	17	1	1	4	4	2	0.3844288	2	0.3845005	1	0.4689251	0	0
97178.3991	13.2043765	3	18	2	2	2	4	2	0.2693599	4	0.5525292	1	0.6430191	0	0
97191.61185	13.2043794	3	19	2	1	3	4	3	0.2777737	4	0.2763377	1	0.53624	0	0
97204.82457	13.2044435	3	20	3	2	4	2	4	0.1943486	2	0.2109456	2	0.7686474	0	0
97218.03732	13.2044474	3	21	1	1	1	1	1	0.3358961	3	0.2859709	1	0.3594032	0	0
97231.25013	13.2043518	3	22	2	1	3	2	3	0.3286643	2	0.5942846	2	0.768063	0	0
97244.46286	13.2127363	3	23	2	2	2	1	2	0.409767	1	0.2861541	1	0.6775079	0	0
97257.68391	13.2044125	3	24	3	2	4	1	4	0.4524829	1	0.2949633	1	0.4357709	0	0
97270.89666	13.2044593	3	25	3	2	1	4	1	0.4610813	4	0.6032857	1	0.6189251	0	0
97284.10951	13.2043465	3	26	1	2	2	2	4	0.4274694	2	0.2509857	1	1.2112335	0	0
97297.3222	13.2043838	3	27	1	3	3	2	3	0.4524554	2	0.2761135	2	0.4930827	0	0
97310.53486	13.2295088	3	28	1	1	3	4	2	0.6596428	2	0.3595543	2	0.9845395	0	0
97323.77268	13.2043833	3	29	1	2	4	4	4	0.3093949	4	0.6433339	2	0.7857192	0	1
97336.98539	13.2043963	3	30	1	3	3	4	1	0.3944151	4	0.3277176	2	0.4678936	0	0
97350.19816	13.2044715	3	31	2	3	2	1	2	0.3856553	1	0.269094	2	0.7263911	0	0
97363.41104	13.2209862	3	32	3	1	2	1	2	0.3510109	1	0.6525541	1	0.6594416	0	0
97376.64039	13.2043898	3	33	3	1	3	1	3	0.3009837	1	0.3511362	1	0.6607266	0	0
97389.85315	13.2127101	3	34	2	1	3	4	3	0.2191487	2	0.1522611	1	0.3680721	1	0
97403.07424	13.2127546	3	35	2	3	4	3	4	0.3939271	3	0.2857505	2	0.3772958	0	0
97416.29523	13.2045089	3	36	3	1	3	1	3	0.1940002	1	0.2843299	1	0.4344882	0	0
