onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
96405.59907	13.2543911	2	1	2	2	1	2	1	0.2684542	2	0.3514848	1	0.8851765	0	0
96418.86175	13.204526	2	2	1	1	3	4	4	0.3707105	3	0.3362403	1	0.9196208	0	0
96432.07455	13.2127457	2	3	3	3	1	4	1	0.2943839	4	0.3951546	2	1.0022187	0	0
96445.29559	13.2044681	2	4	1	3	2	3	2	0.5025505	0	0	2	1.1765019	0	0
96458.51682	13.204317	2	5	3	1	1	2	1	0.3596678	2	0.2690941	1	0.6361514	0	0
96471.72942	13.2044728	2	6	2	1	1	3	2	0.4182982	3	0.5957415	1	0.5353513	0	0
96484.94229	13.2043514	2	7	1	2	2	3	2	0.326755	3	0.2928921	2	0.9109726	0	0
96498.15496	13.2127639	2	8	3	2	1	1	1	0.2944023	1	0.3854505	2	0.9931132	0	0
96511.37601	13.2128019	2	9	1	1	4	3	4	0.6433614	3	0.3946639	2	1.0859702	0	0
96524.59714	13.2044223	2	10	1	3	3	1	3	0.4366222	1	0.2197733	2	0.7217016	0	0
96537.80988	13.2044282	2	11	2	2	4	1	4	0.4180684	1	0.3014271	2	0.6679565	0	0
96551.02266	13.2210315	2	12	1	2	1	4	2	0.4180145	4	0.4195865	1	0.6447792	0	0
96564.25211	13.2043769	2	13	2	3	2	4	2	0.4190138	4	0.4943503	1	0.7681181	0	0
96577.46489	13.2043421	2	14	2	1	3	4	0	0	4	0.7360753	2	0.8193443	0	0
96590.67756	13.2044846	2	15	3	3	3	3	3	0.5940548	3	0.5025157	1	0.6678712	0	0
96603.89037	13.2043624	2	16	1	1	3	3	3	0.2528685	0	0	1	1.2193965	0	0
96617.10309	13.2044194	2	17	1	3	3	3	3	0.6013143	3	0.3033572	2	0.7513379	0	0
96630.31582	13.2044605	2	18	1	1	4	3	4	0.3858515	1	0.436171	2	0.7431272	0	0
96643.52856	13.2044273	2	19	2	2	3	1	2	0.2865882	2	0.7850242	2	0.9345382	0	0
96656.74132	13.2044216	2	20	3	2	4	2	4	0.4608542	2	0.3700466	2	1.0524671	0	0
96669.95408	13.2294214	2	21	1	2	4	4	2	0.4011887	4	0.3105853	2	0.4095106	0	0
96683.19182	13.2044168	2	22	3	3	3	4	3	0.3525508	4	0.3442838	1	0.527451	0	0
96696.40457	13.2044413	2	23	2	1	1	4	2	0.3093278	4	0.4191046	1	0.5693486	0	0
96709.61732	13.2044928	2	24	2	3	1	4	2	0.2273829	4	0.3608693	2	0.5511671	0	0
96722.83011	13.2043947	2	25	1	3	4	3	4	0.3857139	3	0.4522895	2	0.5691802	0	0
96736.04286	13.2127687	2	26	3	1	3	1	3	0.2678287	1	0.3954799	1	0.5678422	0	0
96749.26393	13.2210885	2	27	1	2	3	3	2	0.5444772	3	0.2760148	1	0.4595522	0	0
96762.4933	13.2044723	2	28	3	1	1	4	1	0.3460255	3	0.2775747	1	0.5108054	0	0
96775.70614	13.2043993	2	29	3	2	3	4	3	0.2358923	4	0.335771	1	0.3357164	0	0
96788.91884	13.2043993	2	30	2	1	1	1	1	0.2942921	2	0.2525389	1	0.5611213	0	0
96802.13155	13.2043855	2	31	3	2	4	1	4	0.4014996	1	0.2273951	1	1.218161	0	0
96815.34428	13.2044993	2	32	3	3	2	1	2	0.5358968	1	0.2260351	2	0.4355662	0	0
96828.5571	13.2044671	2	33	2	3	4	3	1	0.0272383	3	0.4510891	2	1.0774266	0	0
96841.76989	13.2128141	2	34	2	3	4	3	2	0.3689625	3	0.2858229	2	0.9014301	0	0
96854.99096	13.2044518	2	35	2	2	3	1	3	0.24269	1	0.2695936	1	0.5358901	0	0
96868.20369	13.2128131	2	36	3	1	1	4	1	0.2939294	3	0.2677632	1	0.6345613	0	0
