onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
93753.85677	13.2460898	4	1	2	2	3	2	3	0.4851291	2	2.2038514	1	1.4366849	0	0
93767.11128	13.2043384	4	2	2	3	4	4	4	1.8865391	4	1.7945483	2	1.7940057	0	0
93780.32399	13.2127252	4	3	2	2	1	2	0	0	2	2.0450218	1	1.9518474	0	1
93793.54508	13.2294817	4	4	2	2	1	4	1	2.2621475	0	0	2	1.8268014	0	0
93806.79114	13.2044413	4	5	1	3	4	4	3	1.5351358	4	1.0188579	2	1.3780785	1	0
93820.00381	13.2044895	4	6	1	1	3	4	3	1.9619089	4	1.2353941	2	0.902438	0	0
93833.21673	13.2043548	4	7	3	1	4	4	4	0.9362821	4	1.4449044	1	1.1850858	0	0
93846.42942	13.2043798	4	8	1	2	2	3	1	0.9365396	3	1.1105619	1	2.2363657	0	0
93859.64218	13.2126994	4	9	3	2	1	1	1	1.9359439	1	2.0357382	1	2.0781278	0	0
93872.86339	13.21267985	4	10	2	1	2	1	1	1.8435546	3	0.7029256	1	2.0292374	0	0
93886.08438	13.2043298	4	11	1	3	1	4	3	1.6517694	4	1.5632161	1	1.727983	0	0
93899.29706	13.2044896	4	12	3	2	2	1	2	1.8535989	1	1.7364591	1	1.8363691	0	0
93912.50985	13.2044129	4	13	2	3	4	1	1	2.153823	0	0	2	2.0195623	0	0
93925.72257	13.2127702	4	14	3	3	1	4	1	1.6383908	4	1.5970235	1	2.0516803	0	0
93938.94375	13.2043253	4	15	3	1	2	3	0	0	4	1.3861382	1	2.2268173	0	1
93952.15652	13.2043218	4	16	1	1	2	1	3	1.3209166	1	1.8936769	2	1.8863137	0	0
93965.36912	13.2044932	4	17	3	2	2	3	2	1.9950865	2	2.0522375	2	1.034553	0	0
93978.58195	13.2044257	4	18	1	3	3	2	3	2.2869268	2	2.2869808	2	2.0030924	0	0
93991.79467	13.204454	4	19	2	1	4	1	4	2.3520186	1	2.2120192	2	1.9350749	0	0
94005.00746	13.2043782	4	20	3	2	3	3	3	1.3596358	2	1.6042651	1	1.6528377	0	0
94018.22021	13.2043336	4	21	1	1	1	3	1	1.4780418	3	1.528011	2	2.2855329	0	0
94031.43297	13.2044046	4	22	1	2	3	4	4	0.8612876	4	1.1608558	1	1.1014116	0	0
94044.64571	13.2043394	4	23	2	2	3	4	3	1.6014755	4	1.4111167	2	1.5515449	0	0
94057.85843	13.2044862	4	24	2	3	1	1	1	1.1767761	1	1.4777406	2	1.7266197	0	0
94071.07122	13.2127041	4	25	1	2	3	3	2	1.2696966	3	1.6184303	0	0	0	0
94084.29225	13.2211129	4	26	3	3	1	1	1	2.1934779	1	1.0851557	2	1.8610029	0	0
94097.52176	13.2126475	4	27	2	1	2	4	2	1.7268001	4	1.0931194	1	1.4359944	0	0
94110.74279	13.2043995	4	28	3	1	2	2	2	1.5868897	1	1.6280588	1	1.6778317	0	0
94123.95552	13.2044327	4	29	3	3	3	4	3	1.9270123	4	0.6527356	0	0	0	0
94137.16828	13.2127642	4	30	3	3	4	4	4	1.9795771	4	1.5597014	2	1.4362084	0	0
94150.38941	13.2126485	4	31	1	3	2	1	1	0.6681954	1	1.3278565	1	1.6866517	0	0
94163.6104	13.2128144	4	32	3	1	3	2	3	1.5944858	4	1.8032232	1	1.5597198	0	0
94176.83161	13.2044198	4	33	1	2	3	1	3	0.9275497	1	1.9611979	1	1.5847618	0	0
94190.04431	13.2044368	4	34	1	1	1	1	0	0	1	0.6262182	2	1.3493619	0	0
94203.2571	13.2043837	4	35	2	3	1	3	3	0.6775793	3	1.6868999	2	1.1847591	0	0
94216.46985	13.2128115	4	36	2	1	3	1	3	2.1698598	1	1.3031286	2	1.6098043	0	0
