onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
92686.62499	13.2460586	2	1	2	2	3	4	3	1.1957641	4	1.3284217	2	1.395089	0	0
92699.8794	13.2127834	2	2	2	3	3	4	3	1.0264362	4	1.1198268	2	1.5528819	0	0
92713.10045	13.2044056	2	3	3	1	2	3	2	1.168623	3	1.6689604	2	1.535068	0	0
92726.31325	13.2210816	2	4	3	2	2	3	2	1.7687011	3	1.5933327	1	1.6208551	0	0
92739.55101	13.2127423	2	5	3	2	1	1	1	1.6200541	1	2.1203051	1	1.9351115	0	0
92752.77205	13.2044164	2	6	3	3	1	3	1	1.7352897	0	0	2	1.612241	0	0
92765.98482	13.2043764	2	7	1	2	2	1	2	1.4435841	1	1.7603419	1	1.6530358	0	0
92779.19764	13.2043737	2	8	2	1	2	1	0	0	3	1.8354126	2	0.9193065	0	0
92792.41035	13.204358	2	9	3	1	3	1	3	2.0537276	1	1.969915	1	1.5065249	0	0
92805.62305	13.2127329	2	10	3	2	2	3	2	2.3519399	3	2.3352159	2	1.4369737	0	0
92818.84416	13.2127094	2	11	2	3	1	1	1	1.3932593	1	2.0601993	1	1.8797581	0	0
92832.0653	13.2043867	2	12	1	1	4	3	4	1.6770798	3	2.0712722	2	0.7356643	0	0
92845.27797	13.2044108	2	13	1	3	1	4	1	1.7613198	4	1.6352334	1	1.1514267	0	0
92858.49071	13.2044403	2	14	3	1	2	4	2	1.8111994	1	0.6282859	0	0	0	0
92871.7035	13.204383	2	15	3	3	2	2	2	1.1535099	2	1.595319	2	1.2182852	0	0
92884.91625	13.2044187	2	16	1	2	3	3	3	1.0694145	3	1.4722461	1	1.7697289	0	0
92898.12896	13.2127715	2	17	2	1	1	3	1	2.1872114	3	1.9617809	1	1.8015765	0	0
92911.35008	13.2044213	2	18	2	3	3	2	3	0.4616221	2	1.3699521	2	1.726592	0	0
92924.56284	13.2043797	2	19	1	1	4	2	4	1.2442863	4	1.2115935	1	2.0932575	0	0
92937.77557	13.22104	2	20	2	1	1	1	1	1.6946717	4	1.8364841	1	1.3517101	0	1
92951.0049	13.2045305	2	21	1	3	2	2	1	1.3430737	2	1.8368234	1	2.2934062	0	0
92964.21776	13.2044206	2	22	1	2	1	3	1	1.6610725	3	1.7777555	2	1.4614005	0	0
92977.43048	13.2043894	2	23	3	3	1	4	1	1.8028185	4	0.5365153	1	1.8696612	0	0
92990.64326	13.2044186	2	24	2	3	2	4	2	1.5347883	4	1.3946254	2	1.8953024	0	0
93003.85601	13.2043056	2	25	3	2	3	2	0	0	2	1.5766529	1	1.1931428	0	0
93017.0687	13.2128203	2	26	3	3	1	4	1	1.4015456	4	1.4514471	2	1.3445114	0	0
93030.28986	13.2043843	2	27	2	1	1	2	1	1.5029617	2	1.6444225	1	1.0929937	1	0
93043.50261	13.2043757	2	28	1	2	3	2	3	1.2276173	4	1.4183471	1	1.8446783	0	0
93056.71531	13.2044263	2	29	3	1	4	2	4	1.502681	2	1.0191937	1	1.8863389	0	0
93069.92811	13.204407	2	30	2	2	1	2	1	0.8110583	2	0.7273285	1	1.4775044	0	0
93083.14083	13.2045081	2	31	1	3	1	3	3	0.7594925	3	1.1263049	2	1.9765586	0	0
93096.35361	13.2127441	2	32	2	2	4	1	4	0.9779964	1	0.6013536	1	1.394518	0	0
93109.5747	13.2127228	2	33	1	3	1	2	3	1.1770049	2	0.967924	2	1.0610129	0	0
93122.7958	13.2043664	2	34	1	1	2	2	0	0	4	1.6864015	2	1.6530056	0	0
93136.00861	13.204364	2	35	2	2	1	1	1	1.451458	1	1.2680357	2	1.1512993	0	0
93149.22127	13.2044508	2	36	1	1	4	3	4	0.3942021	3	0.343518	2	0.752713	0	0
