onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
92134.13206	13.2377612	1	1	1	2	4	3	1	0.8774439	3	0.9102844	2	0.8936346	0	0
92147.37815	13.2127121	1	2	3	2	1	1	1	0.9028782	3	0.3930181	1	0.835021	0	0
92160.59925	13.2044279	1	3	1	1	1	4	0	0	4	0.6947738	2	0.9447191	0	0
92173.81201	13.2043062	1	4	2	1	3	3	1	1.303096	2	0.5695382	2	0.7362217	0	0
92187.033	13.2294541	1	5	3	2	1	1	1	1.0181344	4	0.6598036	1	1.086345	0	0
92200.27081	13.2211027	1	6	3	3	2	2	2	0.9779502	2	1.5438235	1	1.0770724	0	0
92213.50021	13.2044992	1	7	1	3	3	1	0	0	1	0.9039071	2	0.9199611	0	0
92226.71298	13.20483373	1	8	2	3	2	2	2	0.9791503	4	1.1949629	1	1.0280965	0	0
92239.92566	13.2044	1	9	3	1	4	1	4	1.1354454	1	1.2850529	1	0.9294472	0	0
92253.1384	13.2127102	1	10	1	2	2	4	1	1.8114202	4	1.0863627	2	1.071028	0	0
92266.35948	13.204354	1	11	2	2	2	3	0	0	0	0	1	1.7467512	0	0
92279.57219	13.2044716	1	12	1	1	1	3	1	0.7952042	4	0.6609521	1	1.6695099	1	0
92292.78499	13.2044346	1	13	2	1	4	2	4	0.5681764	1	0.6115881	1	0.7181098	0	0
92305.99778	13.2210833	1	14	3	3	2	1	2	1.0598509	1	0.5431815	2	0.9863356	0	1
92319.22718	13.2043954	1	15	1	3	2	3	2	0.7109397	3	0.6276183	2	0.9347726	0	0
92332.43995	13.2043201	1	16	3	2	3	2	0	0	2	0.7432679	2	0.9429807	0	0
92345.65269	13.2043364	1	17	3	1	2	3	1	1.2108798	3	0.884789	2	0.9946239	0	0
92358.86544	13.2044138	1	18	3	2	2	4	1	1.2278572	4	0.6872636	2	0.8942273	0	0
92372.07819	13.2043621	1	19	1	3	1	3	1	0.6201823	3	0.6872438	1	1.0263562	0	0
92385.2909	13.2127911	1	20	3	1	4	1	4	0.5514136	1	0.3023639	1	0.8610241	0	0
92398.51199	13.2044991	1	21	3	3	2	1	2	0.8108585	1	0.5597999	1	1.0763105	0	0
92411.72477	13.204422	1	22	2	1	2	3	2	0.6613273	3	0.318005	2	1.4610517	0	0
92424.93753	13.2127965	1	23	2	1	3	1	3	0.50173	1	0.494135	1	0.817819	0	0
92438.1586	13.204395	1	24	3	1	3	1	3	0.553492	1	0.3766513	2	1.2098028	0	1
92451.37131	13.2128331	1	25	2	3	2	3	1	0.5276805	3	0.4778277	2	1.1945601	0	0
92464.59244	13.2044199	1	26	1	1	4	3	1	1.2198178	3	0.3768728	2	0.9262666	0	0
92477.80519	13.2043788	1	27	1	1	3	4	1	0.8512802	3	0.4510663	1	1.3446724	0	0
92491.01795	13.2043736	1	28	2	3	3	4	3	0.8031656	4	0.3857662	2	1.6193602	0	0
92504.23066	13.2043961	1	29	1	3	1	4	1	1.1111359	4	1.1776299	2	1.0014982	0	0
92517.44344	13.2043744	1	30	3	3	2	1	2	0.3598041	1	1.0263505	0	0	1	0
92530.65619	13.2127125	1	31	1	2	1	3	1	1.0013184	3	0.3678452	1	1.3264551	0	0
92543.87728	13.2043746	1	32	2	3	2	1	1	0.3010782	1	0.3680723	2	0.9179738	0	0
92557.09003	13.2043985	1	33	2	2	4	1	4	0.4932276	1	0.4857526	1	1.0025253	0	0
92570.30278	13.2127389	1	34	2	2	3	3	3	0.3444287	4	0.467883	1	1.3181557	0	0
92583.52387	13.2044812	1	35	1	2	1	1	1	0.4852713	4	0.3111828	1	0.9678551	0	0
92596.73661	13.2044577	1	36	2	2	3	3	3	0.38761	2	0.7196512	1	1.993432	0	0
