onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
93226.50561	13.2458878	3	1	2	1	4	2	4	0.3700732	4	1.5105883	1	1.2770872	0	0
93239.75986	13.2294594	3	2	3	2	1	3	1	2.1438843	3	0.8281315	2	2.0521958	0	0
93252.99765	13.2045515	3	3	1	1	3	1	4	1.7281749	2	2.1786383	2	2.2783779	0	0
93266.21037	13.2044594	3	4	3	2	1	2	1	1.9032893	2	1.6030526	1	2.0434228	0	0
93279.4314	13.2045131	3	5	3	1	4	1	4	0.8096932	4	0.8694144	1	1.7869738	0	0
93292.64423	13.2127193	3	6	3	2	2	4	2	1.2448538	4	0.9284449	0	0	0	0
93305.86535	13.204407	3	7	1	1	4	1	3	1.5115201	1	0.6688134	2	1.4122995	0	0
93319.07808	13.2044623	3	8	1	2	4	1	4	1.2865839	1	1.5099416	1	1.5700062	0	0
93332.29079	13.212776	3	9	1	3	1	3	1	1.4351266	3	1.2351532	2	1.2766288	0	0
93345.51192	13.2044624	3	10	3	1	3	1	0	0	1	1.5031227	2	1.23746	1	0
93358.72467	13.2127822	3	11	1	1	1	2	2	1.7192699	4	1.5114817	1	1.5461471	0	0
93371.94571	13.2127016	3	12	3	3	4	2	4	1.5195423	2	2.1605574	2	2.3956991	0	0
93385.16678	13.2044284	3	13	1	2	1	3	1	2.2187358	3	1.9956225	1	2.1185221	0	0
93398.37959	13.2044214	3	14	1	3	4	4	4	1.5046824	4	2.0062439	0	0	0	0
93411.59235	13.2044623	3	15	2	2	1	3	1	0.4861058	3	1.3515346	2	1.8106444	0	0
93424.80506	13.204451	3	16	2	1	3	2	3	1.4600116	1	1.7433945	2	1.5097847	0	0
93438.01785	13.2044095	3	17	2	3	2	1	1	0.6942755	1	1.2461273	2	1.2610709	0	0
93451.23058	13.21276	3	18	2	2	2	1	2	1.7032222	1	1.3624711	0	0	0	0
93464.45163	13.2128418	3	19	3	1	4	1	4	1.9611081	3	1.8465278	2	1.7268286	0	0
93477.67273	13.2044507	3	20	2	3	4	3	4	1.4782167	3	1.0681386	2	1.3942996	0	0
93490.88549	13.2044475	3	21	3	3	2	2	2	0.6860025	2	0.8028316	1	2.3100715	0	0
93504.09824	13.204426	3	22	3	3	1	3	1	0.6609265	3	1.9015904	2	1.3612287	1	0
93517.31103	13.2127523	3	23	3	3	3	3	3	1.8767859	3	2.3027036	2	1.8194745	0	0
93530.53206	13.2044712	3	24	2	3	1	2	1	1.8032004	2	1.9951033	1	1.7531865	0	0
93543.74493	13.2043168	3	25	2	2	3	2	3	0.9778275	4	1.2444133	0	0	0	0
93556.95757	13.2043695	3	26	1	3	4	2	4	1.8347114	2	0.9957082	2	1.5113485	0	0
93570.17032	13.2044517	3	27	1	3	2	2	1	2.3199397	2	1.4696309	2	2.1198312	0	0
93583.38308	13.2044921	3	28	3	2	2	2	1	1.5514161	4	1.8517505	1	1.8683144	1	0
93596.59584	13.2128347	3	29	3	1	3	3	3	1.8205258	3	2.2684719	1	1.5112396	0	0
93609.81697	13.212752	3	30	2	1	1	1	1	1.0358069	4	1.5098139	1	1.7599241	0	0
93623.03805	13.2043785	3	31	1	2	2	3	0	0	3	2.0027369	1	0.976772	0	0
93636.25077	13.212813	3	32	2	2	1	3	1	0.96796	3	0.6775613	2	1.1346412	0	0
93649.4719	13.2043759	3	33	1	1	3	3	1	1.9028211	0	0	2	2.2267517	0	0
93662.68465	13.204364	3	34	2	3	2	1	2	2.1633127	1	2.218365	2	2.2182364	0	0
93675.89731	13.2045964	3	35	2	1	1	3	4	1.7599054	3	2.2865029	0	0	0	0
93689.11015	13.2043853	3	36	1	2	1	4	1	1.3513975	4	1.2779325	2	1.927896	1	0
