onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
6707.266983	13.2230842	2	1	2	3	1	2	1	0.5354168	2	0.5858904	1	0.8354336
6720.498401	13.2731214	2	2	1	1	1	1	2	0.3523016	1	0.4030016	1	0.5517216
6733.779897	13.2564458	2	3	1	1	3	4	3	0.6106812	4	0.4018849	1	0.6445358
6747.044678	13.2730605	2	4	3	2	3	1	3	0.3853441	1	0.3351226	1	0.6517642
6760.334402	13.2066381	2	5	3	2	1	3	1	0.5188062	3	0.377011	1	1.1534558
6773.549211	13.2231374	2	6	3	3	1	4	1	0.3439256	4	0.3932626	1	1.7935626
6786.780675	13.3397918	2	7	2	2	4	1	4	0.6189972	1	0.3857507	1	0.8262922
6800.128793	13.3314222	2	8	1	3	1	1	4	0.4438933	1	0.3522503	2	1.1939001
6813.468525	13.1981579	2	9	2	3	2	1	2	0.3523972	1	0.4111368	1	0.518437
6826.6751	13.1980084	2	10	3	1	2	2	2	0.4277146	1	1.9041656	1	0.9854304
6839.881439	13.1981358	2	11	2	3	3	4	4	1.3024457	4	0.5940953	1	1.1266267
6853.087906	13.2065852	2	12	3	1	1	3	1	0.4356229	2	0.477021	1	0.4267643
6866.302715	13.1981609	2	13	2	3	2	4	2	0.4188565	4	0.6601492	1	0.9267223
6879.509202	13.2898378	2	14	3	1	4	1	4	0.3017275	2	0.4527356	1	0.943231
6892.807366	13.2981209	2	15	1	1	3	3	3	0.4265437	3	0.2939725	2	1.027377
6906.113818	13.2900021	2	16	2	1	3	1	3	0.6768993	1	0.45134	1	0.8519541
6919.41209	13.1980221	2	17	2	1	3	1	3	0.6114903	1	0.3685426	1	0.7681062
6932.618442	13.3315104	2	18	1	3	1	3	1	0.6039503	3	0.4194107	2	0.9438679
6945.958289	13.2981419	2	19	1	2	3	2	2	0.7443388	1	0.6013602	1	0.8850434
6959.264742	13.198177	2	20	1	2	3	2	4	0.4541133	1	0.4770498	1	0.7435382
6972.471249	13.2231836	2	21	3	3	1	2	1	0.5281703	2	0.4521081	1	0.9766034
6985.702751	13.3481331	2	22	1	2	2	4	2	0.7267577	4	0.6124896	1	1.0266958
6999.059236	13.2981059	2	23	3	3	1	2	1	0.3768206	2	0.5777239	2	0.5441332
7012.365821	13.1980947	2	24	3	3	4	3	4	0.4433838	3	0.5107666	1	0.3774276
7025.572175	13.2564877	2	25	1	1	3	1	0	0	4	1.0681208	1	0.6111058
7038.837017	13.3398292	2	26	1	3	3	2	1	0.7941009	2	0.4098596	2	0.4120536
7052.185179	13.2731325	2	27	3	1	3	1	0	0	1	0.3100756	2	1.3683781
7065.466643	13.1981644	2	28	3	2	2	3	2	0.5438646	3	0.8624172	1	1.0346852
7078.673134	13.1981465	2	29	2	1	1	3	1	0.4610149	3	0.877183	1	0.4601932
7091.879631	13.1981502	2	30	2	1	2	4	2	0.6771654	4	0.3266356	2	1.576761
7105.086125	13.223124	2	31	2	2	4	1	4	0.469424	1	0.384813	1	0.877392
7118.317778	13.1981112	2	32	1	2	2	2	2	0.376593	2	0.5938641	2	1.3932856
7131.524115	13.2814918	2	33	2	2	3	4	3	1.1351079	4	1.026502	2	1.6599288
7144.813934	13.2231569	2	34	2	2	3	2	3	0.5265394	2	0.5108959	1	0.9355383
7158.045418	13.1981717	2	35	3	2	4	3	4	0.501807	3	0.3692176	2	0.8687644
7171.251942	13.1981529	2	36	1	3	2	3	2	0.3519826	3	0.6431964	2	0.5100277
