onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
7346.835715	13.2231087	3	1	2	1	3	2	4	1.060479	1	0.4849553	2	0.9354851
7360.067159	13.3647761	3	2	3	2	2	4	2	0.5938564	4	0.3035176	2	1.0438347
7373.440264	13.214787	3	3	3	1	3	1	3	0.285361	1	0.2440759	1	0.8437006
7386.663388	13.2980922	3	4	1	1	4	1	4	1.5272243	1	0.3274581	0	0
7399.978137	13.1981369	3	5	3	3	3	1	3	1.0604388	1	0.3023094	2	0.3688212
7413.184586	13.1981165	3	6	2	2	4	4	4	0.3519735	4	1.0600609	1	0.5848644
7426.391179	13.3063488	3	7	3	1	1	1	1	0.2863712	2	1.2437571	1	1.4264737
7439.705859	13.1981422	3	8	2	2	3	1	3	0.3020511	1	0.3457817	2	0.9189512
7452.912341	13.2731561	3	9	2	1	4	3	4	0.9022873	3	0.8274443	2	1.5199757
7466.193972	13.439609	3	10	2	2	1	2	1	0.2858807	2	0.4601275	1	0.3858167
7479.641918	13.2981265	3	11	1	1	2	3	1	0.4354478	3	0.4101759	1	1.3449118
7492.948374	13.1981339	3	12	2	1	1	4	1	0.2940661	4	1.5189315	1	0.9438957
7506.154934	13.1981901	3	13	2	3	2	1	2	0.4361944	1	0.6045654	2	1.2599443
7519.361289	13.2898588	3	14	2	1	4	4	4	0.43675	1	0.427003	1	1.2183326
7532.659663	13.3729405	3	15	3	2	2	1	2	0.4934839	1	0.3522249	2	1.8182982
7546.040993	13.1981307	3	16	3	1	4	4	4	0.9029247	2	0.4935244	1	0.3851705
7559.247438	13.1982618	3	17	1	2	2	1	2	0.3932162	1	0.3105954	2	1.0350388
7572.453984	13.2897796	3	18	1	3	1	4	2	0.5033237	4	0.2941184	2	0.9263586
7585.752092	13.3564335	3	19	3	2	2	3	2	0.4522581	4	0.6037396	1	0.3684421
7599.117007	13.1980502	3	20	3	3	4	2	4	0.5434021	2	0.5188279	2	1.193246
7612.323383	13.1981701	3	21	1	3	1	4	1	0.8028638	4	0.4020401	1	1.1025578
7625.529886	13.2815176	3	22	2	3	1	3	1	0.4018553	3	0.5516906	2	0.8352533
7638.819737	13.2064618	3	23	1	1	4	3	1	0.3521919	1	0.3105818	1	0.6770744
7652.034697	13.3979912	3	24	3	3	1	3	1	0.3682362	3	0.5689443	2	1.3852886
7665.441029	13.439809	3	25	1	2	4	4	4	0.2854187	4	0.193297	1	0.3521854
7678.88917	13.2814905	3	26	3	3	2	2	2	0.3931871	2	0.3442615	2	0.9944566
7692.178999	13.198149	3	27	1	3	4	4	1	0.4186786	4	0.2681623	1	1.0274904
7705.385616	13.3980468	3	28	1	2	3	2	3	0.3608644	1	0.2851337	1	0.8596754
7718.791996	13.2731749	3	29	3	2	1	3	1	0.2266457	3	0.2607012	2	1.6434316
7732.073496	13.3149562	3	30	2	3	1	2	1	0.326789	2	0.3270904	1	1.1435159
7745.396767	13.1980478	3	31	2	2	4	2	4	0.3938387	2	0.4102631	2	1.2935631
7758.603144	13.1981926	3	32	1	3	2	2	2	0.3770366	2	0.5183338	1	0.493061
7771.809669	13.1981603	3	33	2	3	4	1	4	1.1688365	1	0.2856313	1	0.893111
7785.016164	13.2231798	3	34	1	2	3	1	4	0.4763496	1	0.3347642	1	0.7103672
7798.247664	13.1981797	3	35	1	1	2	3	1	0.3185553	3	0.4938994	1	0.3596967
7811.454179	13.3148401	3	36	3	1	2	2	2	0.4763303	1	0.7106494	1	1.1680923
