onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
8679.883239	13.4147681	5	1	2	2	2	4	2	0.4353329	4	0.4266844	1	0.7433297
8693.306385	13.2814006	5	2	1	1	4	2	4	0.9605887	1	0.2775569	1	0.6931524
8706.596116	13.2731366	5	3	1	2	4	1	4	0.3113852	1	0.3607539	1	0.4435425
8719.877574	13.1982032	5	4	2	1	1	2	1	0.4526953	2	0.3689677	1	0.8515118
8733.092374	13.2064724	5	5	3	2	3	2	3	0.410423	1	0.3765265	1	0.8943938
8746.307183	13.3231517	5	6	1	1	4	3	4	0.4522374	3	0.3356468	1	0.821141
8759.638668	13.2314731	5	7	3	1	3	4	3	0.2940481	4	0.4534743	1	0.4181633
8772.878471	13.28155	5	8	3	1	4	4	4	0.3776375	4	0.9350424	1	0.6518946
8786.168304	13.248161	5	9	1	2	1	3	1	0.5106243	3	0.4104285	2	0.9270084
8799.424798	13.3648012	5	10	3	3	2	1	2	0.3609428	1	0.3939169	1	1.1013547
8812.79793	13.1981566	5	11	1	3	1	3	1	0.910511	3	0.4028265	2	0.3274055
8826.004412	13.1981683	5	12	3	3	1	1	1	0.469468	1	0.4191338	1	1.0012178
8839.210913	13.1981767	5	13	1	3	4	4	2	0.4515	4	0.4769167	2	0.8936728
8852.417415	13.2981369	5	14	3	3	1	1	1	0.3444472	1	0.3110702	2	0.9685849
8865.724022	13.1980877	5	15	2	1	1	4	1	0.2609443	4	0.3954288	1	0.6437535
8878.930552	13.198182	5	16	2	2	4	3	4	0.3274493	3	0.4364287	2	0.9862858
8892.136928	13.198192	5	17	3	2	1	2	1	0.3272402	2	0.4105892	2	0.9350475
8905.343448	13.3148065	5	18	3	2	2	4	2	0.4690149	4	0.2850401	2	0.8515318
8918.666745	13.1981425	5	19	1	2	4	2	1	0.5017585	2	0.327273	2	0.7597601
8931.873144	13.2816989	5	20	1	1	1	2	1	0.6347256	2	0.327051	2	0.8764622
8945.163076	13.3147959	5	21	2	3	2	2	2	0.4217454	2	0.4027745	1	0.7019882
8958.486206	13.1982364	5	22	3	3	3	3	3	0.5112057	3	0.3699496	2	0.7771151
8971.692715	13.198209	5	23	2	3	1	4	1	0.9440971	4	0.3187157	1	1.0681803
8984.899232	13.3482332	5	24	3	2	4	3	4	0.3520704	3	0.434733	2	1.1681362
8998.255793	13.2731811	5	25	1	2	1	2	1	0.301878	1	0.5937592	1	0.4516294
9011.537309	13.1981991	5	26	3	1	2	2	2	0.3356938	1	0.2930716	1	0.8935667
9024.743839	13.2649136	5	27	1	3	3	1	3	0.577432	1	0.4769687	1	0.8104122
9038.017088	13.2815168	5	28	2	3	1	2	1	0.2938257	2	0.4017711	2	0.8512345
9051.306941	13.3648347	5	29	2	2	2	2	2	0.3105668	2	0.3851651	2	0.8687178
9064.680108	13.1982486	5	30	3	1	4	4	4	0.3690035	1	0.4513202	1	1.3347035
9077.886762	13.3064299	5	31	2	1	2	3	2	0.4187635	3	0.4190248	2	1.3433927
9091.201508	13.3232042	5	32	2	2	1	1	1	0.2932284	1	0.418197	1	0.8096041
9104.53317	13.3647028	5	33	1	1	1	3	1	0.351983	1	0.4935501	1	0.7432145
9117.906316	13.198154	5	34	2	1	1	1	1	0.4104164	1	0.2598509	1	0.4435039
9131.112735	13.1981887	5	35	2	3	3	2	3	0.4699432	2	0.3938701	2	0.7185064
9144.31927	13.2315563	5	36	1	3	3	3	4	0.4104111	3	1.6851321	1	0.8432933
