onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
2981.945987	14.2230286	3	1	3	1	3	4	3	0.3505007	4	0.6421979	1	0.6754631	1	0
2996.177348	14.0897202	3	2	3	2	2	1	2	0.5182907	1	0.3093141	2	0.8686535	0	0
3010.275383	14.0980305	3	3	1	2	4	2	4	0.3921114	1	0.3504645	2	0.3767972	0	0
3024.381748	13.1981645	3	4	2	2	1	1	1	0.85875	0	0	1	1.0516659	0	0
3037.596576	14.1147019	3	5	2	3	4	2	4	0.4837431	2	0.369131	1	0.5687723	0	0
3051.719605	14.0813738	3	6	3	2	3	1	3	0.4087771	1	0.3111645	2	0.5273998	0	0
3065.809313	13.5897585	3	7	2	3	4	3	4	0.4937105	3	0.4170891	2	0.5940599	0	0
3079.407407	13.6897749	3	8	2	2	4	4	4	0.5020525	4	0.710395	2	0.3682955	0	0
3093.105513	14.1147122	3	9	3	3	1	3	2	0.9920275	3	0.4360529	2	0.5031785	0	0
3107.228538	14.0980347	3	10	2	1	4	4	4	0.3860139	3	0.3936072	1	0.6272586	0	0
3121.334927	13.1981849	3	11	3	1	4	3	4	0.3261781	3	0.6358357	1	1.5593788	0	0
3134.541427	14.0980486	3	12	1	3	4	1	3	1.1268028	1	0.8765664	2	0.5002436	0	0
3148.647811	14.0730686	3	13	2	2	3	4	3	0.4016592	3	0.1946468	1	0.3772779	0	0
3162.729204	14.031349	3	14	3	3	1	2	1	0.2769684	1	0.4622837	1	0.49193	0	0
3176.768888	13.6148135	3	15	1	1	4	2	4	0.3336355	1	0.3616288	1	0.4432926	0	0
3190.392048	14.1896914	3	16	3	3	3	1	3	0.32646	1	0.5347092	1	1.4584389	0	0
3204.590068	14.1896956	3	17	2	3	3	2	3	0.4184278	2	0.3592139	2	0.3751713	0	0
3218.788097	13.5398067	3	18	1	1	3	2	4	0.6188738	1	0.3683833	2	0.3351736	0	0
3232.336234	14.12305	3	19	1	2	2	2	2	0.3589254	2	0.6682825	1	0.7188513	0	0
3246.467625	14.0063919	3	20	1	3	1	2	4	0.3253264	2	0.8921381	2	0.4185052	0	0
3260.482353	14.1063751	3	21	2	3	1	2	4	1.0848596	2	0.5694094	2	0.3919266	0	0
3274.597063	13.1981677	3	22	2	2	3	1	3	0.7169295	1	0.276635	2	1.6928491	0	0
3287.80356	14.0314211	3	23	3	3	1	1	1	0.2837978	1	0.6351564	1	1.3515564	0	0
3301.843311	14.0980673	3	24	1	3	3	2	4	0.3919959	2	0.3933048	2	1.5604412	0	0
3315.94971	13.6314338	3	25	1	3	2	3	2	0.551709	3	0.4021472	2	0.2925163	0	0
3329.589467	13.7148034	3	26	3	1	2	2	2	0.4287729	3	0.1336059	1	0.4100318	0	0
3343.312597	14.181395	3	27	2	1	4	3	4	0.1847376	3	1.2514569	1	0.5752281	0	0
3357.502458	14.0895944	3	28	1	1	1	1	1	0.3357072	1	0.3086431	2	0.6847076	0	0
3371.600353	13.1981949	3	29	2	1	2	4	2	0.4939673	4	0.3172153	1	1.5500916	0	0
3384.806878	14.0564211	3	30	1	1	4	4	4	0.3022525	4	0.0754967	2	1.2084497	0	0
3398.871628	14.0813863	3	31	3	2	3	3	3	0.3669433	3	0.4104045	1	0.4002283	0	0
3412.961341	14.1313708	3	32	3	1	1	2	1	0.3865816	4	0.4359391	1	0.3585697	0	0
3427.101043	13.7064643	3	33	2	1	3	2	3	1.0264742	1	0.3766268	2	0.3933689	0	0
3440.815841	14.148059	3	34	1	2	3	2	1	0.2420128	1	0.2514956	2	0.3852719	0	0
3454.972225	14.1064158	3	35	1	2	1	2	1	0.1935268	0	0	1	2.1583299	0	0
3469.08696	13.4481515	3	36	3	2	4	1	4	0.3768445	1	0.6001959	1	0.4669214	0	0
