onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
2369.45608	13.6897528	2	1	2	1	3	3	3	0.7183238	1	0.3588083	1	0.3357143	1	0
2383.154159	14.0896842	2	2	1	1	2	2	2	1.1515778	2	0.5025664	2	0.5352969	0	0
2397.25217	14.1063348	2	3	2	1	1	1	1	0.3420719	1	0.4587761	1	0.9852678	0	0
2411.366833	13.1981718	2	4	3	3	1	4	1	1.350289	4	0.9108052	1	0.9170302	0	0
2424.581666	14.0480028	2	5	1	3	4	3	1	0.3356095	3	0.3685892	2	0.3587373	0	0
2438.637996	14.0897054	2	6	3	1	1	2	1	0.0504432	3	0.3588012	1	0.5515305	0	0
2452.736043	14.0813326	2	7	3	3	4	1	4	0.3088181	1	0.3934988	1	0.4441422	0	0
2466.825705	13.6480898	2	8	2	3	4	1	4	0.475733	1	0.4254289	2	1.5849304	0	0
2480.482139	14.0897022	2	9	1	1	3	4	3	0.5604908	3	0.5256256	2	0.4015247	0	0
2494.58017	14.0897001	2	10	1	3	2	1	1	0.7775019	1	0.352917	2	0.4196752	0	0
2508.678195	13.4231141	2	11	2	1	4	2	2	0.735726	1	0.1095646	2	0.7763326	0	0
2522.109636	14.0814756	2	12	2	3	4	1	3	0.4422052	1	0.4106071	2	0.4103511	0	0
2536.199347	14.0730401	2	13	3	1	2	1	2	0.3767615	1	0.3685592	1	0.3184466	0	0
2550.280717	14.0396914	2	14	1	1	3	1	3	0.2687741	1	0.4419438	2	0.3516125	0	0
2564.328728	13.1981897	2	15	1	2	1	2	2	0.5109816	2	0.8271128	1	1.6000887	0	0
2577.535247	14.1313713	2	16	3	1	1	1	1	0.2512862	0	0	1	0.4013497	0	0
2591.674951	14.0480409	2	17	3	2	1	3	1	0.3253181	3	0.283842	1	0.5502181	0	0
2605.731329	13.6147596	2	18	1	1	2	4	2	0.3196625	1	1.1345708	1	0.6355929	0	0
2619.354423	13.6814501	2	19	1	2	2	1	2	0.4938367	1	0.3502734	2	0.49335	0	0
2633.044198	14.0563803	2	20	1	3	4	2	3	0.4696024	2	0.467119	1	0.5769218	0	0
2647.108912	14.0147196	2	21	2	2	3	4	3	0.8354995	4	0.3422006	2	0.3682539	0	0
2661.131963	13.1981864	2	22	2	3	4	1	3	0.5169222	1	0.4097455	2	0.5502318	0	0
2674.338484	14.1480363	2	23	2	1	3	4	3	0.3763862	1	0.3685969	1	0.4418903	0	0
2688.494849	14.0230668	2	24	3	2	3	3	3	0.4085603	3	0.4763736	1	0.3022752	0	0
2702.526242	13.9980659	2	25	1	3	2	4	2	0.5419341	4	0.2839563	2	2.2433354	0	0
2716.532637	13.5649426	2	26	2	3	4	3	4	1.4754458	3	0.75866	2	1.734906	0	0
2730.105857	14.0063137	2	27	2	2	1	2	1	0.4335996	1	0.3434479	1	0.6100666	0	0
2744.120502	14.0480737	2	28	1	2	1	2	1	1.7521246	4	1.1021749	2	0.5085745	0	0
2758.176895	13.6064547	2	29	2	2	1	4	1	0.3187908	4	0.4596405	1	1.6851967	0	0
2771.791681	14.0397444	2	30	3	3	3	1	3	1.4584748	1	0.4419355	2	0.6348985	1	0
2785.839757	14.0563738	2	31	3	1	4	2	4	0.3671045	2	0.235116	1	0.325284	0	0
2799.904482	14.1063914	2	32	1	2	3	1	2	1.3854108	1	0.441926	2	1.2418186	0	0
2814.019205	13.1981632	2	33	2	2	1	3	1	0.4669407	3	0.4336297	1	0.8501932	0	0
2827.225715	14.0813937	2	34	3	3	3	1	3	0.3516926	1	0.3253103	2	0.3849893	0	0
2841.31545	14.0064493	2	35	3	2	4	4	4	0.3263991	3	0.4517802	1	0.5015432	0	0
2855.330169	13.598096	2	36	3	2	3	1	3	0.276484	1	0.4438878	1	0.9104036	0	0
