onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
1699.583835	14.2229135	1	1	1	2	3	4	3	0.6355483	4	0.3935737	2	0.6672016	0	0
1713.815086	14.0813107	1	2	1	3	2	3	2	0.4685218	3	0.8426916	2	1.6691164	0	0
1727.904736	14.0979553	1	3	2	3	4	4	4	0.3187449	4	0.4434614	1	0.5837194	0	0
1742.011026	13.1981168	1	4	3	3	1	3	1	0.4683396	3	0.3921153	1	1.1419949	0	0
1755.2258	14.1396376	1	5	1	1	1	4	2	0.3773969	3	0.9434365	1	0.5337051	0	0
1769.373769	13.9979969	1	6	1	1	3	1	3	0.558901	1	0.3857795	2	0.8753422	0	0
1783.380109	13.6146929	1	7	2	3	1	2	1	0.5004825	2	1.1169615	1	1.4431203	0	0
1797.003147	13.6314043	1	8	3	2	4	1	4	0.3587714	1	0.342127	1	1.0192249	0	0
1810.642928	14.0896055	1	9	3	2	2	4	2	0.3190349	4	0.325657	1	0.4928288	0	0
1824.740854	13.9063098	1	10	2	1	4	4	4	0.6089963	1	0.3189132	2	0.7523404	0	0
1838.65554	13.1981014	1	11	3	1	3	4	3	0.8434244	3	0.7004248	1	0.3936449	0	0
1851.862028	13.9063342	1	12	2	1	3	2	3	0.3851161	1	0.7765524	2	1.3678551	0	0
1865.776697	14.1229954	1	13	2	1	4	1	4	0.2938719	1	0.0344425	1	0.4433356	0	0
1879.908021	14.0229954	1	14	3	3	4	4	4	0.926271	3	0.0619441	1	1.6767074	0	0
1893.93935	13.6147406	1	15	1	2	2	2	2	0.651758	1	0.1191009	1	0.351876	0	0
1907.562422	14.0563333	1	16	3	3	2	3	2	0.3430483	3	0.251975	1	1.085236	0	0
1921.627086	14.0230558	1	17	1	1	1	2	1	0.3589784	0	0	1	1.5511467	0	0
1935.65847	13.5897428	1	18	2	2	2	3	1	0.8021986	3	0.2353904	2	1.1684879	0	0
1949.256548	14.1230127	1	19	1	2	3	1	3	0.8942919	1	0.2692462	2	0.6918839	0	0
1963.387876	14.1480074	1	20	3	1	4	4	4	0.3617245	1	0.6834718	1	0.4263619	0	0
1977.544193	14.0647172	1	21	1	2	3	2	4	0.2093492	1	0.0351188	2	0.4751994	0	0
1991.617239	13.198161	1	22	3	3	1	3	1	0.8106967	3	0.4335569	2	0.4270693	0	0
2004.823734	14.081374	1	23	2	2	1	4	1	0.3253405	3	0.3419252	1	0.5252136	0	0
2018.913422	14.1396843	1	24	1	3	2	3	2	0.3268018	3	0.1586102	2	0.3424668	0	0
2033.061451	13.7313883	1	25	2	3	3	3	0	0	3	0.3336232	2	0.4502194	0	0
2046.801174	13.6480776	1	26	2	1	4	3	4	0.6086094	0	0	2	1.0084882	1	0
2060.457608	14.0397128	1	27	3	2	2	1	2	0.2855979	1	0.3514616	2	0.3583724	0	0
2074.505761	14.1229002	1	28	2	3	1	4	1	0.3691132	4	0.468673	2	1.1347975	0	0
2088.636992	13.1981708	1	29	3	2	4	1	4	0.3835855	1	0.4002572	1	0.793386	0	0
2101.843497	14.0980369	1	30	3	1	3	2	3	0.3356624	1	0.2586524	1	0.5585598	0	0
2115.949876	14.0980381	1	31	1	1	1	1	1	0.5361975	0	0	2	0.6335477	0	0
2130.056225	14.1730321	1	32	1	3	3	1	2	0.4186087	1	0.3103278738	2	0.3002423	0	0
2144.237587	13.6564294	1	33	2	2	1	3	1	0.6522491	3	0.4102014	2	1.4501253	0	0
2157.902351	14.0813732	1	34	2	2	3	4	3	0.3682622	4	0.6029231	2	0.4515345	0	0
2171.992054	14.0063866	1	35	3	1	1	3	1	0.342667	0	0	1	0.3852135	0	0
2186.006769	13.4564628	1	36	1	3	4	2	4	0.3018819	2	0.4025595	2	0.5848958	0	0
