onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt	1st_interval_fix_break	2nd_interval_fix_break
2505.970716	13.2979314	1	1	2	2	1	3	1	0.3021733	3	0.2690204	1	2.2835636	1	0
2519.276982	13.1980405	1	2	1	3	4	4	1	0.2920865	4	0.0928789	2	0.9420071	0	0
2532.483355	13.1980912	1	3	2	1	3	2	3	0.8434546	1	0.2272747	1	0.8937518	0	0
2545.689778	13.1981275	1	4	2	2	3	4	3	0.4855329	4	0.4019538	1	0.6516912	1	0
2558.904565	13.198103	1	5	1	3	2	2	1	0.3685411	2	0.1020543	2	1.3752827	0	0
2572.110994	13.1980909	1	6	3	1	3	3	3	0.9605481	2	0.3935553	1	0.6172042	0	0
2585.317435	13.1981025	1	7	1	2	3	3	0	0	4	0.3758506	2	0.7682365	0	0
2598.523874	13.1981247	1	8	2	3	4	3	4	0.3503437	3	0.4336861	2	0.6435581	0	0
2611.730361	13.1981239	1	9	3	1	1	3	1	0.4017485	0	0	1	0.8026778	0	0
2624.936816	13.1981308	1	10	3	2	2	2	2	0.3670082	1	0.4269336	1	0.494011	0	0
2638.143268	13.198153	1	11	2	3	1	1	1	0.3362443	1	0.4357293	1	0.7251483	0	0
2651.349743	13.198146	1	12	2	3	3	1	3	0.293625	1	0.1101242	1	1.3167207	0	0
2664.556214	13.1981564	1	13	1	1	1	1	1	0.2427577	0	0	2	0.6194358	0	0
2677.762702	13.1982287	1	14	2	2	3	3	3	0.3116388	2	0.0098315	2	0.5770226	0	0
2690.969339	13.1980618	1	15	3	1	4	2	4	0.3692126	2	0.3421691	2	0.5512072	0	0
2704.175697	13.1981585	1	16	3	3	3	1	3	0.300227	1	0.4282744	1	0.5930145	0	0
2717.382191	13.1981857	1	17	3	2	1	1	1	0.2516622	0	0	1	0.3595535	0	0
2730.58869	13.1981779	1	18	2	1	3	3	4	0.2765395	0	0	2	0.3951262	0	0
2743.795206	13.1982007	1	19	1	2	2	3	0	0	4	0.2522347	2	0.5515822	0	0
2757.001716	13.1981799	1	20	3	3	2	3	0	0	0	0	2	0.3009909	0	0
2770.208302	13.1981132	1	21	1	3	1	2	0	0	0	0	2	1.275089	0	0
2783.414861	13.1980564	1	22	2	1	3	1	2	0.300592	0	0	1	0.7601203	0	0
2796.621246	13.1981814	1	23	1	1	3	2	0	0	1	0.6419662	1	0.7021615	0	0
2809.827766	13.1981891	1	24	1	1	2	2	0	0	2	0.2846036	2	0.8834616	0	0
2823.034288	13.1983168	1	25	3	3	3	1	0	0	0	0	2	1.0417513	0	0
2836.240823	13.1981994	1	26	1	2	1	2	0	0	2	0.1169388	2	0.6097997	1	0
2849.447349	13.1982372	1	27	2	1	4	4	0	0	0	0	2	0.5583577	0	0
2862.653859	13.1981999	1	28	3	2	2	4	0	0	0	0	2	0.650209	0	0
2875.860383	13.198206	1	29	2	2	3	2	4	0.3085195	0	0	2	0.5251693	0	0
2889.066917	13.1982014	1	30	1	1	4	2	0	0	2	0.2501608	2	0.4833638	1	0
2902.273444	13.1981999	1	31	3	2	3	1	3	0.2019176	0	0	1	1.0250903	0	0
2915.479973	13.1982023	1	32	1	2	3	3	1	0.2501721	3	0.06076	2	0.6338145	0	0
2928.686502	13.198205	1	33	3	1	1	2	1	0.4018054	0	0	1	0.535123	0	0
2941.893044	13.1982049	1	34	2	3	3	2	1	0.0836603	2	0.1838275	2	1.4103303	0	0
2955.099578	13.2065608	1	35	3	3	3	1	0	0	1	0.8417964	2	1.0091936	0	0
2968.314446	13.1982056	1	36	1	3	1	3	1	0.3687385	2	0.2418522	2	0.9687436	1	0
