onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
6476.287208	13.248308	1	1	3	2	4	1	4	1.0274994	1	0.9355766	1	0.6934376
6489.543884	13.1981424	1	2	2	1	3	2	3	0.6525845	1	0.8027353	1	0.8525303
6502.750368	13.1980835	1	3	3	2	2	1	2	0.651849	3	0.8768701	1	0.6107159
6515.956783	13.1980788	1	4	3	1	4	4	4	0.5701715	2	0.7433064	1	0.7271134
6529.171543	13.2064305	1	5	1	1	4	3	2	0.5689211	1	0.4690034	1	1.4107667
6542.386302	13.1981131	1	6	1	2	4	3	4	0.5609023	3	0.57721	1	0.8027796
6555.592734	13.1981303	1	7	3	1	1	3	1	1.1018064	1	0.4616957	1	0.6431341
6568.799189	13.1981329	1	8	3	3	3	3	3	0.5272982	3	0.5366438	1	0.7761728
6582.005667	13.1981218	1	9	2	2	4	2	4	0.4687169	2	0.3851021	1	1.5759931
6595.212272	13.1980981	1	10	2	2	1	2	1	0.7936086	2	0.4953286	1	0.743789
6608.418705	13.2063564	1	11	2	2	3	2	4	0.521997	2	0.7519081	2	0.8354956
6621.633383	13.1981692	1	12	1	3	1	1	2	0.510817	1	0.7774666	2	0.8687619
6634.839888	13.1981681	1	13	3	3	1	1	1	0.5269858	1	0.4523478	2	1.5606513
6648.046384	13.1982888	1	14	2	3	1	3	1	0.7020801	3	0.4686019	2	1.2940483
6661.253021	13.1979909	1	15	1	1	2	3	2	0.3934154	3	0.4619521	1	0.6433719
6674.459461	13.1980644	1	16	1	1	2	4	2	0.5950137	1	0.609839	2	1.0198331
6687.66599	13.1981389	1	17	1	2	2	1	2	0.3688242	1	0.6349619	2	1.0016165
6700.872446	13.1980957	1	18	1	2	4	3	4	0.5688877	3	0.5182443	2	0.7439724
6714.078873	13.1981774	1	19	3	1	4	1	4	0.460917	1	0.5183927	1	1.6435557
6727.285383	13.1981863	1	20	1	3	4	2	2	0.3683011	2	0.336149	2	1.6848032
6740.491909	13.198189	1	21	2	1	3	3	3	0.7183458	2	0.4847627	2	1.7019837
6753.698425	13.1981908	1	22	2	3	2	3	2	0.610473	3	0.9517127	2	0.6686904
6766.904948	13.198187	1	23	1	2	2	4	2	0.4185498	4	0.7860828	2	0.8685797
6780.111594	13.1980695	1	24	3	2	4	2	4	0.8685462	2	0.6430027	2	0.9935765
6793.318086	13.1982245	1	25	1	3	3	4	4	0.9267426	4	1.2855001	2	0.6513509
6806.52451	13.1982119	1	26	2	3	1	4	1	0.3951002	4	0.0691379	2	1.2432825
6819.731045	13.1982118	1	27	2	2	1	4	1	0.4267172	4	0.3021922	1	0.5768758
6832.937595	13.1983207	1	28	3	1	3	3	3	0.6610167	1	0.5102932	1	1.3685392
6846.144251	13.1980659	1	29	3	2	3	1	3	0.7621027	1	0.3185037	2	1.318774
6859.350658	13.1981828	1	30	2	1	1	3	1	0.6691466	2	0.5265761	1	0.8600219
6872.557174	13.1982199	1	31	3	3	3	3	3	0.5103578	3	0.418666	2	1.2770041
6885.763844	13.1980842	1	32	2	3	1	4	1	0.4355173	4	0.2951939	1	1.1512711
6898.970263	13.1982103	1	33	1	1	1	2	2	0.5515459	2	0.3349785	2	0.4848022
6912.176804	13.1982049	1	34	3	3	2	3	2	0.3777827	3	0.3022255	2	1.0265961
6925.383349	13.1982086	1	35	2	1	3	1	3	0.7186548	1	0.443243	2	0.8937734
6938.589891	13.1982194	1	36	1	3	2	2	2	0.4099806	2	0.468224	1	1.7435834
