onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
9042.291328	13.3232052	5	1	2	3	3	1	3	0.8520941	1	0.2766836	1	0.8101675
9055.622858	13.198307	5	2	1	3	3	1	3	0.4353525	1	0.2357845	2	0.9683954
9068.837916	13.1981087	5	3	3	2	4	1	4	0.4190377	2	0.452464	2	0.627135
9082.044494	13.1981128	5	4	2	2	2	2	2	0.2773418	2	0.443579	2	0.6102419
9095.259271	13.1982377	5	5	3	2	3	4	3	0.4689981	4	0.3024195	1	1.0268309
9108.465841	13.1982527	5	6	1	3	1	1	1	0.7189949	1	0.3185072	2	0.4851992
9121.672588	13.1980667	5	7	2	1	1	4	1	0.2353228	3	0.3020988	1	0.3268654
9134.878985	13.1982338	5	8	1	1	3	4	2	0.3768309	2	0.2942274	1	1.1765258
9148.085683	13.1981189	5	9	1	2	3	1	2	0.3517801	1	0.3185166	2	0.5442007
9161.292105	13.1982721	5	10	1	3	2	2	2	0.2602346	2	0.3434081	2	0.486074
9174.498715	13.1982402	5	11	1	2	2	3	4	0.7100306	3	0.3355254	2	0.4101734
9187.705308	13.198213	5	12	3	3	4	3	4	0.4612652	3	0.4265962	2	0.9520262
9200.91185	13.1982693	5	13	1	2	2	4	2	0.3286678	4	0.3687187	1	0.4608028
9214.118455	13.1982158	5	14	2	2	4	4	4	0.3524943	2	0.3359258656	1	1.0601959
9227.325041	13.1982506	5	15	3	1	4	1	4	0.5608328	1	0.5541097	1	1.5680609
9240.531768	13.1981286	5	16	3	2	2	3	2	0.4276207	4	0.3770339	1	0.56844
9253.738214	13.1982555	5	17	2	3	4	2	4	0.4357415	2	0.3361042	2	1.1933844
9266.944798	13.1982571	5	18	1	1	2	2	2	0.3519551	2	0.4433028	2	1.0357104
9280.151404	13.198248	5	19	3	3	3	1	3	0.5522722	1	0.3434526	2	0.6430501
9293.357983	13.1982579	5	20	2	1	3	1	4	0.8599299	1	0.9772109	1	1.4687286
9306.564572	13.1982629	5	21	2	1	3	3	4	1.1348959	2	0.3356039	1	0.4772751
9319.771154	13.1983033	5	22	1	2	2	2	2	0.4101565	2	0.5266177	2	2.384473
9332.977759	13.1982605	5	23	2	2	1	1	1	0.3104992	1	0.0349422	2	1.2931133
9346.18435	13.1982615	5	24	3	2	2	2	2	0.4265926	2	0.4098483	1	1.5600723
9359.390947	13.2065936	5	25	3	1	2	1	2	0.3516515	1	0.426588	1	0.7772657
9372.605986	13.1981486	5	26	1	3	4	3	4	0.3264203	3	0.5689152	2	0.4604542
9385.812459	13.1984779	5	27	3	1	3	4	3	0.3199169	4	0.376894	2	1.318107
9399.019067	13.1984329	5	28	2	3	4	1	2	0.5684849	1	0.6847865	2	0.4344862
9412.225694	13.1982219	5	29	3	3	4	1	4	0.460625	1	0.3679738	2	1.4442143
9425.432378	13.1981384	5	30	3	1	2	1	2	0.3437092	2	0.2271164	2	0.9935329
9438.638855	13.1982503	5	31	1	1	1	3	2	0.1939227	1	0.2681847	2	1.2015986
9451.845569	13.1982004	5	32	2	2	3	3	3	0.3350022	3	0.2947143	2	1.1015289
9465.052032	13.1982465	5	33	2	1	2	1	2	0.367992	1	0.4352832	1	1.3685845
9478.258627	13.198268	5	34	1	1	4	2	2	0.5770753	1	0.9853124	1	0.676138
9491.465222	13.198265	5	35	2	3	4	4	4	0.3684556	4	0.3111874	2	0.5604663
9504.671822	13.1982669	5	36	3	3	4	4	4	0.3354957	4	0.335951	1	1.3601465
