onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
2876.18361	13.206477	1	1	3	3	2	2	0	0	0	0	0	0
2889.39844	13.1980766	1	2	2	2	1	2	0	0	0	0	0	0
2902.604853	13.198117	1	3	3	1	1	4	0	0	0	0	0	0
2915.811302	13.198077	1	4	1	1	2	4	0	0	0	0	0	0
2929.017704	13.1981325	1	5	1	3	4	4	0	0	0	0	0	0
2942.232624	13.1979865	1	6	3	2	1	1	0	0	0	0	0	0
2955.438961	13.19809	1	7	2	1	3	3	0	0	0	0	0	0
2968.645384	13.1980978	1	8	1	2	4	2	0	0	0	0	0	0
2981.851817	13.1981263	1	9	2	3	4	4	0	0	0	0	0	0
