onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
2430.966627	13.2398282	2	1	2	1	3	3	0	0	1	1.0611623	0	0
2444.214785	13.1981984	2	2	2	2	1	3	4	1.9764329	0	0	2	0.7851454
2457.421315	13.1981935	2	3	2	3	4	3	4	1.3938824	0	0	2	0.543427
2470.62786	13.1981769	2	4	3	3	1	4	1	1.7598617	4	0.6109982	2	0.6515224
2483.851189	13.2063467	2	5	1	1	3	3	1	0.5688234	0	0	0	0
2497.065868	13.1981809	2	6	1	3	3	2	1	0.6607452	0	0	2	1.5104366
2510.272383	13.1981766	2	7	1	2	4	3	4	1.5274543	0	0	2	0.7533384
2523.47889	13.198189	2	8	1	2	1	4	1	0.5441172	4	0.9023157	2	1.0439722
2536.685412	13.1981688	2	9	3	1	2	1	0	0	1	0.510655	0	0
2549.892	13.1981154	2	10	1	2	1	1	1	0.936589	1	0.6269909	2	1.1512097
2563.098448	13.1981963	2	11	3	3	2	4	0	0	4	0.4854123	2	0.4849327
2576.304974	13.1981759	2	12	2	1	4	2	4	1.4187035	0	0	0	0
2589.511481	13.1982094	2	13	1	1	2	2	4	0.7944941	0	0	2	1.8516961
2602.718015	13.1982086	2	14	3	2	2	1	0	0	1	0.393833	0	0
2615.924582	13.1981938	2	15	3	1	1	2	1	0.5445652	0	0	0	0
2629.131112	13.1981738	2	16	3	3	4	3	4	0.6686361	0	0	2	0.6847247
2642.337615	13.1982215	2	17	3	1	2	3	0	0	4	1.7272714	0	0
2655.544167	13.1982452	2	18	2	1	4	3	4	1.1682211	0	0	0	0
2668.750684	13.1982441	2	19	1	1	2	4	1	0.4017247	4	0.9861796	0	0
2681.957258	13.1981945	2	20	1	1	1	3	4	1.0935408	0	0	0	0
2695.163782	13.1983251	2	21	2	3	2	2	0	0	4	0.7862464	2	1.2437114
2708.370456	13.1980852	2	22	1	3	4	2	1	0.8599266	0	0	2	1.1938558
2721.576869	13.1982049	2	23	3	1	1	2	1	1.1849257	4	1.7929996	0	0
2734.783428	13.1981859	2	24	2	2	2	3	1	0.5765734	0	0	2	0.735506
2747.989957	13.1982208	2	25	3	2	4	4	4	0.6855459	0	0	0	0
2761.196506	13.1982149	2	26	2	1	3	4	0	0	1	0.519659	0	0
2774.403055	13.1983978	2	27	3	2	2	3	0	0	0	0	0	0
2787.609615	13.1982101	2	28	2	3	1	4	1	0.4181076	4	0.6104165	2	1.4188516
2800.816152	13.1982973	2	29	3	2	1	4	1	0.7180698	4	0.7766356	2	1.7594878
2814.022717	13.1982078	2	30	2	2	4	3	4	0.7020539	0	0	0	0
2827.229256	13.1982201	2	31	2	3	3	4	4	0.5772054	4	0.6105615	2	0.726232
2840.435794	13.1982309	2	32	2	2	1	4	1	0.5433434	4	1.4182984	0	0
2853.642362	13.1982062	2	33	1	3	2	4	1	0.6604787	4	0.9516554	0	0
2866.848893	13.1982584	2	34	1	2	2	2	0	0	1	0.5520571	2	1.2353975
2880.055482	13.1982208	2	35	1	3	1	3	1	0.5597668	0	0	2	1.2179097
2893.262018	13.1983582	2	36	3	3	3	2	0	0	1	0.5765734	0	0
