onset	duration	run_number	trial_number	1st_interval_prob	2nd_interval_prob	1st_interval_dir	2nd_interval_dir	1st_interval_resp	1st_interval_rt	2nd_interval_resp	2nd_interval_rt	confidence_resp	confidence_rt
1857.837778	13.2563533	1	1	2	3	2	3	0	0	0	0	2	0.5439454
1871.10249	13.198106	1	2	2	2	3	4	0	0	4	0.5702945	2	1.2186814
1884.308906	13.1981113	1	3	3	3	3	3	0	0	0	0	0	0
1897.515344	13.1981252	1	4	1	3	3	4	0	0	4	0.4099811	2	0.5356122
1910.721813	13.1981724	1	5	1	3	2	3	1	0.8187234	0	0	2	1.2601969
1923.928259	13.1981382	1	6	1	3	4	1	1	1.1931566	1	0.5434497	2	0.902447
1937.134729	13.1981258	1	7	2	3	3	3	0	0	0	0	0	0
1950.341177	13.1981594	1	8	3	1	3	4	0	0	1	1.0847804	2	2.1707942
1963.547682	13.1981287	1	9	3	3	2	1	0	0	1	0.4689062	2	0.5686601
1976.754174	13.1981182	1	10	2	1	3	3	0	0	4	1.1937769	0	0
1989.960596	13.1981751	1	11	2	1	4	4	4	0.9267521	4	1.5947543	0	0
2003.1671	13.1981704	1	12	1	1	4	3	4	1.5356453	0	0	2	0.4522172
2016.373677	13.2064012	1	13	1	2	3	3	1	0.6352482	0	0	2	0.7187666
2029.588414	13.1981352	1	14	2	3	2	2	1	0.6019573	0	0	2	2.0602394
2042.79501	13.1980934	1	15	3	1	4	2	4	0.9938435	0	0	0	0
2056.001403	13.1981859	1	16	3	2	3	1	0	0	1	1.1682883	0	0
2069.207903	13.1981697	1	17	3	3	2	4	0	0	4	0.7447894	2	0.8603469
2082.414402	13.1981903	1	18	3	2	2	3	1	1.1116663	0	0	0	0
2095.620914	13.1981441	1	19	1	2	1	4	1	0.5437638	4	1.180004	2	0.6349002
2108.827418	13.1981754	1	20	1	1	4	4	0	0	4	1.4609084	0	0
2122.033909	13.198178	1	21	2	3	4	1	4	1.151951	0	0	2	0.9020311
2135.240421	13.1981936	1	22	2	2	2	3	1	1.2768911	0	0	2	0.8771009
2148.446953	13.1981652	1	23	3	3	3	3	0	0	0	0	2	1.5770012
2161.653451	13.198199	1	24	3	1	1	3	1	0.5764877	0	0	0	0
2174.859967	13.1981914	1	25	2	1	4	2	4	0.8108544	1	0.8531245	0	0
2188.066487	13.1982003	1	26	2	2	1	2	1	0.8265384	0	0	0	0
2201.273013	13.1981958	1	27	3	2	4	1	4	0.7598466	4	2.251388	0	0
2214.479545	13.1981882	1	28	2	1	3	1	0	0	1	0.8682175	2	0.5601161
2227.686041	13.1981641	1	29	1	2	4	1	0	0	1	0.9851869	2	0.6772153
2240.892572	13.1981916	1	30	1	1	1	2	0	0	4	0.8105897	2	0.9762135
2254.099093	13.198193	1	31	2	2	2	2	0	0	0	0	0	0
2267.305617	13.1981932	1	32	1	1	1	2	1	0.4936315	0	0	2	0.4517894
2280.51214	13.1981868	1	33	1	3	4	2	4	1.2264612	0	0	0	0
2293.718784	13.1981891	1	34	3	2	4	3	4	1.0017086	0	0	0	0
2306.92531	13.1980748	1	35	1	2	4	4	1	0.7770062	0	0	2	0.4523599
2320.131717	13.1982723	1	36	3	1	1	4	1	1.192943	0	0	0	0
